restaurantId,Avg_Rate,Avg_Sentiment_Score,Avg_Combined_Score,Positive_Count,Negative_Count,Neutral_Count,Total_Reviews,Positive_Rate,Negative_Rate,Neutral_Rate,Final_Score,Final_Score_Normalized,Category
67812ec1514dba6089ed93a0,7.666666666666667,10.0,8.833333333333334,3,0,0,3,1.0,0.0,0.0,10.833333333333334,9.192307692307692,Positive
67812ec1514dba6089ed9396,8.0625,9.71875,8.890625,15,0,1,16,0.9375,0.0,0.0625,10.828125,9.188701923076923,Positive
67812ec1514dba6089ed9465,7.640000000000001,10.0,8.82,5,0,0,5,1.0,0.0,0.0,10.82,9.183076923076923,Positive
67812ec1514dba6089ed9459,7.6,10.0,8.8,10,0,0,10,1.0,0.0,0.0,10.8,9.169230769230769,Positive
67812ec1514dba6089ed946e,7.6,10.0,8.8,1,0,0,1,1.0,0.0,0.0,10.8,9.169230769230769,Positive
67812ec1514dba6089ed9432,7.6,10.0,8.8,5,0,0,5,1.0,0.0,0.0,10.8,9.169230769230769,Positive
67812ec1514dba6089ed9356,7.6,10.0,8.8,1,0,0,1,1.0,0.0,0.0,10.8,9.169230769230769,Positive
67812ec1514dba6089ed9491,7.6,10.0,8.8,2,0,0,2,1.0,0.0,0.0,10.8,9.169230769230769,Positive
67812ec1514dba6089ed9438,8.24,9.55,8.895,9,0,1,10,0.9,0.0,0.1,10.795,9.16576923076923,Positive
67812ec1514dba6089ed93df,7.56,10.0,8.780000000000001,5,0,0,5,1.0,0.0,0.0,10.780000000000001,9.155384615384616,Positive
67812ec1514dba6089ed941d,8.048,9.64,8.844,23,0,2,25,0.92,0.0,0.08,10.764,9.144307692307692,Positive
67812ec1514dba6089ed945d,7.5200000000000005,10.0,8.76,5,0,0,5,1.0,0.0,0.0,10.76,9.141538461538461,Positive
67812ec1514dba6089ed9464,8.113333333333333,9.55,8.831666666666667,27,0,3,30,0.9,0.0,0.1,10.731666666666667,9.121923076923078,Positive
67812ec1514dba6089ed9454,7.433333333333333,10.0,8.716666666666667,6,0,0,6,1.0,0.0,0.0,10.716666666666667,9.111538461538462,Positive
67812ec1514dba6089ed93e1,8.342857142857143,9.357142857142858,8.85,6,0,1,7,0.8571428571428571,0.0,0.14285714285714285,10.707142857142856,9.104945054945054,Positive
67812ec1514dba6089ed9397,7.3999999999999995,10.0,8.700000000000001,3,0,0,3,1.0,0.0,0.0,10.700000000000001,9.100000000000001,Positive
67812ec1514dba6089ed93d9,7.3999999999999995,10.0,8.700000000000001,3,0,0,3,1.0,0.0,0.0,10.700000000000001,9.100000000000001,Positive
67812ec1514dba6089ed9410,8.928571428571429,9.035714285714286,8.982142857142858,12,1,1,14,0.8571428571428571,0.07142857142857142,0.07142857142857142,10.625,9.048076923076923,Positive
67812ec1514dba6089ed93f7,8.85,8.875,8.8625,3,0,1,4,0.75,0.0,0.25,10.6125,9.039423076923077,Positive
67812ec1514dba6089ed9471,8.2,9.4,8.8,27,1,2,30,0.9,0.03333333333333333,0.06666666666666667,10.600000000000001,9.03076923076923,Positive
67812ec1514dba6089ed939b,7.199999999999999,10.0,8.6,8,0,0,8,1.0,0.0,0.0,10.6,9.03076923076923,Positive
67812ec1514dba6089ed93b9,7.2,10.0,8.6,1,0,0,1,1.0,0.0,0.0,10.6,9.03076923076923,Positive
67812ec1514dba6089ed92ff,7.2,10.0,8.6,4,0,0,4,1.0,0.0,0.0,10.6,9.03076923076923,Positive
67812ec1514dba6089ed9305,7.2,10.0,8.6,1,0,0,1,1.0,0.0,0.0,10.6,9.03076923076923,Positive
67812ec1514dba6089ed92cc,7.1,10.0,8.55,2,0,0,2,1.0,0.0,0.0,10.55,8.996153846153845,Positive
