_id,name,cuisines,address,priceRange,timeOpen,average_score,classification,latitude,longitude
67812ec1514dba6089ed90fc,Chân Gà Hấp Sả Ớt Mắt To,Món Việt,"23 - 24 Lương Ngọc Quyến, Quận Hoàn Kiếm, Hà Nội",10.000đ - 200.000đ,10:30 - 22:30,7.24,Positive,21.034856400000002,105.85327365
67812ec1514dba6089ed918f,Phở 10 Lý Quốc Sư - Trần Cung,Hà Nội,"40 Trần Cung, P. Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",30.000đ - 55.000đ,07:00 - 21:30,7.24,Positive,21.056039870469487,105.78729389366534
67812ec1514dba6089ed9267,Hoàng Mập - Mì Vằn Thắn & Sủi Cảo,Món Việt,"107E2 Thái Thịnh, Quận Đống Đa, Hà Nội",20.000đ - 33.000đ,06:30 - 22:30,7.24,Positive,21.0120086,105.81720279999999
67812ec1514dba6089ed911e,Nama Sushi - Vũ Phạm Hàm,Món Nhật,"42 Vũ Phạm Hàm, Quận Cầu Giấy, Hà Nội",50.000đ - 500.000đ,10:00 - 13:00 | 17:00 - 21:00,7.24,Positive,21.015611757271508,105.79750843939736
67812ec1514dba6089ed916d,Hoa Quả Dầm - Lê Thanh Nghị,Món Việt,"36 Lê Thanh Nghị, Quận Hai Bà Trưng, Hà Nội",20.000đ - 33.000đ,08:00 - 22:00,7.24,Positive,21.00223717721981,105.84584145235883
67812ec1514dba6089ed93fa,Sukiya - Cơm Bò Hầm & Mì Ramen - AEON Mall Bình Tân,Món Nhật,"Tầng 3, Tầng 3, Aeon Mall Bình Tân, 1 Đường Số 17A, P. Bình Trị Đông B, Quận Bình Tân, TP. HCM",15.000đ - 99.000đ,11:00 - 20:30,7.2323076923076925,Positive,,
67812ec1514dba6089ed91a6,Fresh Garden Bakery - Tô Hiệu,"Quốc tế, Hà Nội","183 Tô Hiệu, Quận Cầu Giấy, Hà Nội",20.000đ - 400.000đ,06:30 - 21:00,7.22,Positive,21.042191537793975,105.79558553963706
67812ec1514dba6089ed91ca,Phở Cuốn Hương Mai - 25 Ngũ Xã,Hà Nội,"25 Ngũ Xã, Quận Ba Đình, Hà Nội",30.000đ - 44.000đ,09:00 - 22:00,7.22,Positive,21.0460551,105.8413064
67812ec1514dba6089ed9222,Gumiho - Quán Nhậu Cho Các Nàng,Món Hàn,"133 Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội",50.000đ - 500.000đ,11:00 - 14:30 | 17:00 - 23:59,7.22,Positive,21.01400345,105.8500337499256
67812ec1514dba6089ed917b,Paris Gâteaux - Bánh Ngọt & Trà Sữa - The Garden,Quốc tế,"The Garden, Mễ Trì, Quận Nam Từ Liêm, Hà Nội",10.000đ - 450.000đ,06:30 - 23:15,7.2,Positive,21.0151814,105.77771415453785
